date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2020-01-01,AD,0.0,0.0,,,0.0,0.0,,
2020-01-02,AD,0.0,0.0,,,0.0,0.0,,
2020-01-03,AD,0.0,0.0,,,0.0,0.0,,
2020-01-04,AD,0.0,0.0,,,0.0,0.0,,
2020-01-05,AD,0.0,0.0,,,0.0,0.0,,
2020-01-06,AD,0.0,0.0,,,0.0,0.0,,
2020-01-07,AD,0.0,0.0,,,0.0,0.0,,
2020-01-08,AD,0.0,0.0,,,0.0,0.0,,
2020-01-09,AD,0.0,0.0,,,0.0,0.0,,
2020-01-10,AD,0.0,0.0,,,0.0,0.0,,
2020-01-11,AD,0.0,0.0,,,0.0,0.0,,
2020-01-12,AD,0.0,0.0,,,0.0,0.0,,
2020-01-13,AD,0.0,0.0,,,0.0,0.0,,
2020-01-14,AD,0.0,0.0,,,0.0,0.0,,
2020-01-15,AD,0.0,0.0,,,0.0,0.0,,
2020-01-16,AD,0.0,0.0,,,0.0,0.0,,
2020-01-17,AD,0.0,0.0,,,0.0,0.0,,
2020-01-18,AD,0.0,0.0,,,0.0,0.0,,
2020-01-19,AD,0.0,0.0,,,0.0,0.0,,
2020-01-20,AD,0.0,0.0,,,0.0,0.0,,
2020-01-21,AD,0.0,0.0,,,0.0,0.0,,
2020-01-22,AD,0.0,0.0,,,0.0,0.0,,
2020-01-23,AD,0.0,0.0,,,0.0,0.0,,
2020-01-24,AD,0.0,0.0,,,0.0,0.0,,
2020-01-25,AD,0.0,0.0,,,0.0,0.0,,
2020-01-26,AD,0.0,0.0,,,0.0,0.0,,
2020-01-27,AD,0.0,0.0,,,0.0,0.0,,
2020-01-28,AD,0.0,0.0,,,0.0,0.0,,
2020-01-29,AD,0.0,0.0,,,0.0,0.0,,
2020-01-30,AD,0.0,0.0,,,0.0,0.0,,
2020-01-31,AD,0.0,0.0,,,0.0,0.0,,
2020-02-01,AD,0.0,0.0,,,0.0,0.0,,
2020-02-02,AD,0.0,0.0,,,0.0,0.0,,
2020-02-03,AD,0.0,0.0,,,0.0,0.0,,
2020-02-04,AD,0.0,0.0,,,0.0,0.0,,
2020-02-05,AD,0.0,0.0,,,0.0,0.0,,
2020-02-06,AD,0.0,0.0,,,0.0,0.0,,
2020-02-07,AD,0.0,0.0,,,0.0,0.0,,
2020-02-08,AD,0.0,0.0,,,0.0,0.0,,
2020-02-09,AD,0.0,0.0,,,0.0,0.0,,
2020-02-10,AD,0.0,0.0,,,0.0,0.0,,
2020-02-11,AD,0.0,0.0,,,0.0,0.0,,
2020-02-12,AD,0.0,0.0,,,0.0,0.0,,
2020-02-13,AD,0.0,0.0,,,0.0,0.0,,
2020-02-14,AD,0.0,0.0,,,0.0,0.0,,
2020-02-15,AD,0.0,0.0,,,0.0,0.0,,
2020-02-16,AD,0.0,0.0,,,0.0,0.0,,
2020-02-17,AD,0.0,0.0,,,0.0,0.0,,
2020-02-18,AD,0.0,0.0,,,0.0,0.0,,
2020-02-19,AD,0.0,0.0,,,0.0,0.0,,
2020-02-20,AD,0.0,0.0,,,0.0,0.0,,
2020-02-21,AD,0.0,0.0,,,0.0,0.0,,
2020-02-22,AD,0.0,0.0,,,0.0,0.0,,
2020-02-23,AD,0.0,0.0,,,0.0,0.0,,
2020-02-24,AD,0.0,0.0,,,0.0,0.0,,
2020-02-25,AD,0.0,0.0,,,0.0,0.0,,
2020-02-26,AD,0.0,0.0,,,0.0,0.0,,
2020-02-27,AD,0.0,0.0,,,0.0,0.0,,
2020-02-28,AD,0.0,0.0,,,0.0,0.0,,
2020-02-29,AD,0.0,0.0,,,0.0,0.0,,
2020-03-01,AD,1.0,0.0,,,1.0,0.0,,
2020-03-02,AD,0.0,0.0,,,1.0,0.0,,
2020-03-03,AD,0.0,0.0,,,1.0,0.0,,
2020-03-04,AD,0.0,0.0,,,1.0,0.0,,
2020-03-05,AD,0.0,0.0,,,1.0,0.0,,
2020-03-06,AD,0.0,0.0,,,1.0,0.0,,
2020-03-07,AD,0.0,0.0,,,1.0,0.0,,
2020-03-08,AD,0.0,0.0,,,1.0,0.0,,
2020-03-09,AD,0.0,0.0,,,1.0,0.0,,
2020-03-10,AD,0.0,0.0,,,1.0,0.0,,
2020-03-11,AD,0.0,0.0,,,1.0,0.0,,
2020-03-12,AD,1.0,0.0,,,2.0,0.0,,
2020-03-13,AD,0.0,0.0,,,2.0,0.0,,
2020-03-14,AD,0.0,0.0,,,2.0,0.0,,
2020-03-15,AD,12.0,0.0,,,14.0,0.0,,
2020-03-16,AD,25.0,0.0,,,39.0,0.0,,
2020-03-17,AD,0.0,0.0,,,39.0,0.0,,
2020-03-18,AD,36.0,0.0,,,75.0,0.0,,
2020-03-19,AD,19.0,0.0,,,94.0,0.0,,
2020-03-20,AD,39.0,1.0,,,133.0,1.0,,
2020-03-21,AD,1.0,0.0,,,134.0,1.0,,
2020-03-22,AD,31.0,0.0,,,165.0,1.0,,
2020-03-23,AD,48.0,2.0,,,213.0,3.0,,
2020-03-24,AD,18.0,0.0,,,231.0,3.0,,
2020-03-25,AD,58.0,0.0,,,289.0,3.0,,
2020-03-26,AD,32.0,1.0,,,321.0,4.0,,
2020-03-27,AD,20.0,2.0,,,341.0,6.0,,
2020-03-28,AD,29.0,2.0,,,370.0,8.0,,
2020-03-29,AD,6.0,4.0,,,376.0,12.0,,
2020-03-30,AD,20.0,1.0,,,396.0,13.0,,
2020-03-31,AD,0.0,0.0,,,396.0,13.0,,
2020-04-01,AD,33.0,2.0,,,429.0,15.0,,
2020-04-02,AD,13.0,1.0,,,442.0,16.0,,
2020-04-03,AD,24.0,1.0,,,466.0,17.0,,
2020-04-04,AD,57.0,0.0,,,523.0,17.0,,
2020-04-05,AD,17.0,4.0,,,540.0,21.0,,
2020-04-06,AD,11.0,1.0,,,551.0,22.0,,
2020-04-07,AD,15.0,2.0,,,566.0,24.0,,
2020-04-08,AD,23.0,2.0,,,589.0,26.0,,
2020-04-09,AD,13.0,0.0,,,602.0,26.0,,
2020-01-22,US_NY,0.0,0.0,,,0.0,0.0,,
2020-01-23,US_NY,0.0,0.0,,,0.0,0.0,,
2020-01-24,US_NY,0.0,0.0,,,0.0,0.0,,
2020-01-25,US_NY,0.0,0.0,,,0.0,0.0,,
2020-01-26,US_NY,0.0,0.0,,,0.0,0.0,,
2020-01-27,US_NY,0.0,0.0,,,0.0,0.0,,
2020-01-28,US_NY,0.0,0.0,,,0.0,0.0,,
2020-01-29,US_NY,0.0,0.0,,,0.0,0.0,,
2020-01-30,US_NY,0.0,0.0,,,0.0,0.0,,
2020-01-31,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-01,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-02,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-03,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-04,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-05,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-06,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-07,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-08,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-09,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-10,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-11,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-12,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-13,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-14,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-15,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-16,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-17,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-18,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-19,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-20,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-21,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-22,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-23,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-24,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-25,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-26,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-27,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-28,US_NY,0.0,0.0,,,0.0,0.0,,
2020-02-29,US_NY,0.0,0.0,,,0.0,0.0,,
2020-03-01,US_NY,0.0,0.0,,,1.0,0.0,,
2020-03-02,US_NY,0.0,0.0,,0.0,0.0,0.0,,0.0
2020-03-03,US_NY,1.0,0.0,,1.0,1.0,0.0,,1.0
2020-03-04,US_NY,0.0,0.0,,9.0,1.0,0.0,,10.0
2020-03-05,US_NY,2.0,0.0,,20.0,3.0,0.0,,30.0
2020-03-06,US_NY,22.0,0.0,,92.0,25.0,0.0,,122.0
2020-03-07,US_NY,11.0,0.0,,66.0,36.0,0.0,,188.0
2020-03-08,US_NY,24.0,0.0,,200.0,60.0,0.0,,388.0
2020-03-09,US_NY,28.0,0.0,,307.0,88.0,0.0,,695.0
2020-03-10,US_NY,63.0,0.0,,401.0,151.0,0.0,,1096.0
2020-03-11,US_NY,44.0,0.0,,425.0,195.0,0.0,,1521.0
2020-03-12,US_NY,56.0,0.0,,553.0,251.0,0.0,,2074.0
2020-03-13,US_NY,102.0,0.0,,762.0,353.0,0.0,,2836.0
2020-03-14,US_NY,164.0,0.0,,1290.0,517.0,2.0,,4126.0
2020-03-15,US_NY,131.0,3.0,,1293.0,648.0,3.0,,5419.0
2020-03-16,US_NY,294.0,4.0,,1936.0,942.0,7.0,,7355.0
2020-03-17,US_NY,432.0,0.0,,2907.0,1374.0,7.0,,10262.0
2020-03-18,US_NY,1009.0,5.0,,4553.0,2383.0,12.0,,14815.0
2020-03-19,US_NY,1769.0,0.0,,7698.0,4152.0,12.0,,22513.0
2020-03-20,US_NY,2950.0,23.0,,10124.0,7102.0,35.0,,32637.0
2020-03-21,US_NY,3254.0,9.0,,13087.0,10356.0,44.0,,45724.0
2020-03-22,US_NY,4812.0,70.0,,16029.0,15168.0,114.0,,61753.0
2020-03-23,US_NY,5707.0,0.0,,16812.0,20875.0,114.0,,78565.0
2020-03-24,US_NY,4790.0,96.0,,12952.0,25665.0,210.0,,91517.0
2020-03-25,US_NY,5145.0,75.0,,12142.0,30810.0,285.0,,103659.0
2020-03-26,US_NY,6448.0,100.0,,18651.0,37258.0,385.0,,122310.0
2020-03-27,US_NY,7379.0,134.0,,16315.0,44637.0,519.0,,138625.0
2020-03-28,US_NY,7681.0,209.0,,17444.0,52318.0,728.0,,156069.0
